Query,Millis,PreMillis,PostMillis,Tuples,Iterations,Lookups,NrIndexEntries,nrUniqueLookups,NrUctNodes,NrPlans,JoinCard,NrSamples,AvgReward,MaxReward,TotalWork
01a.sql,4137,3994,1,1961,3848,0,1044,1815,10,8,142,8,0.1144254245807697,0.5609434694945448,1.0
01b.sql,7770,7622,0,404,932,0,451,435,4,2,3,2,1.0470520855514004E-5,2.0941041711028008E-5,1.0
01c.sql,2716,2627,0,1368,2625,0,193,1253,8,6,3,6,0.0856602968175025,0.5029851435280135,1.0
01d.sql,4202,4175,0,1068,2243,0,912,997,7,5,4,5,5.9991648713327687E-5,9.350415420256291E-5,1.0
02a.sql,686,4,1,216034,535603,0,1459807097,189270,52,14,7834,1072,0.010453134248840678,0.3893249156704098,1.0
02b.sql,404,4,1,213699,533399,0,1457553231,191963,47,18,5228,1067,0.007746540863736588,0.22554113557788774,1.0
02c.sql,9,1,0,900,2019,0,1339450,862,7,5,0,5,1.4943333164107967E-4,6.662348886919117E-4,1.0
02d.sql,793,84,7,318850,723908,0,1463474155,267347,47,16,68316,1448,0.0492807998652772,0.25022540539042065,1.0
03a.sql,4394,4289,0,16679,47689,0,111488099,17863,20,7,206,96,0.0068709646341380696,0.13179968192285899,1.0
03b.sql,1493,1419,0,6238,13155,0,3411114,7046,19,9,5,27,0.04738827024306148,0.3683180233470756,1.0
03c.sql,4599,4412,1,30641,75378,0,111140087,30384,29,9,7250,151,0.0505643891362603,0.15183085275214375,1.0
04a.sql,1719,1696,0,20943,56872,0,150293835,21990,33,12,740,114,0.010215855025226568,0.09341335212427086,1.0
04b.sql,403,392,0,4097,8892,0,3431025,4187,21,11,6,18,0.027890033210731493,0.15046689318550568,1.0
04c.sql,3007,2976,0,39731,92107,0,182968197,32669,33,15,4700,185,0.028715111278829072,0.230230838321907,1.0
05a.sql,6589,6517,0,455,1002,0,139,546,5,3,0,3,0.0045254648363401975,0.013279313213531428,1.0
05b.sql,5614,5603,0,1171,2502,0,195,1197,8,6,0,6,0.009436545132751826,0.03108375521367968,1.0
05c.sql,10013,9997,1,4977,10739,0,2920,5005,22,11,669,22,0.11133367461832998,0.5317739156700739,1.0
06a.sql,1788,1714,0,3788,9673,0,832816,4143,23,9,6,20,0.04763097124652912,0.2906064866650589,1.0
06b.sql,999,900,65,4528,10651,0,589447,4651,23,13,12,22,0.05180876028747939,0.44467707500403064,1.0
06c.sql,1009,996,0,693,1645,0,6737,624,6,4,2,4,0.07241084022676147,0.27342167336650947,1.0
06d.sql,1750,1716,0,17468,43146,0,2608146,17757,32,13,88,87,0.005723745697072804,0.2754219826508473,1.0
06e.sql,1224,1212,0,9754,23413,0,317184,13537,23,12,6,47,0.011708670079192364,0.27142218383094474,1.0
06f.sql,2979,1333,22,1625211,3272029,0,463213092,826708,42,17,785477,6545,0.12017907897471483,0.1620000000000034,1.0
07a.sql,4895,4689,0,561351,1300419,0,24217851,655836,87,56,32,2601,0.0013814918930053226,0.23029510859421215,1.0
07b.sql,4112,4094,0,4834,10832,0,71661,5006,25,22,16,22,0.013418504091590122,0.1629500006469186,1.0
07c.sql,6030,4031,1,2601013,7134345,0,284564514,3374638,247,182,68185,14269,0.004870768902790006,0.06900000000000002,1.0
08a.sql,3444,3424,0,26508,54190,0,23154,26935,41,34,62,109,0.024480248259286914,0.361271676300578,1.0
08b.sql,10374,10360,0,74,190,0,838288,79,3,1,6,1,0.0,-Infinity,1.0
08c.sql,18392,13,13,26083735,66014413,0,1663398354,25694401,194,129,2487611,132029,0.018883227537567097,0.3668896498552874,1.0
08d.sql,1488,13,1,2873796,6866001,0,5119459,3154379,203,142,323005,13733,0.02357200993721918,0.4026026680524371,1.0
09a.sql,4017,3643,0,12120,25881,0,16588,12403,39,31,121,52,0.03970415824089202,0.34064443611839645,1.0
09b.sql,6722,6698,0,10205,21434,0,8794,10316,38,34,40,43,0.0426701223130929,0.3439343931591364,1.0
09c.sql,1588,1504,0,128836,264820,0,141605,109837,123,92,8144,530,0.02108504541365045,0.34069664191528815,1.0
09d.sql,3071,506,6,3905774,8431391,0,195209490,3441590,259,189,483082,16863,0.028899711846610505,0.3595855770932834,1.0
10a.sql,2427,2404,0,14662,38339,0,59112399,14141,36,27,104,77,0.018091398496862688,0.2984056341064695,1.0
10b.sql,2941,2934,0,549,1226,0,345,585,5,3,0,3,5.212729333243276E-5,1.5637459759440696E-4,1.0
10c.sql,3602,2881,0,3163183,6330678,0,21114,3163291,456,113,10,12662,3.8458997145891983E-4,0.3676470588235294,1.0
11a.sql,2827,2805,0,9779,21722,0,50470113,7649,47,40,310,44,0.023817411220908566,0.12271152225804434,1.0
11b.sql,2177,2162,0,1018,1912,0,2547,718,6,4,14,4,4.5887214745948894E-4,0.001566823349001567,1.0
11c.sql,3724,3659,0,81270,206117,0,966993727,76744,132,72,6946,413,0.020251363786768395,0.167,1.0
