Query,Millis,PreMillis,PostMillis,Tuples,Iterations,Lookups,NrIndexEntries,nrUniqueLookups,NrUctNodes,NrPlans,JoinCard,NrSamples,AvgReward,MaxReward,TotalWork
11d.sql,3634,3552,0,131245,331809,0,1152430491,153271,95,67,14899,664,0.025596238535440095,0.167,1.0
12a.sql,309,277,0,40083,89165,0,70081668,43795,69,57,397,179,0.015998084775562475,0.3171731843575419,1.0
12b.sql,881,868,0,2533,5830,0,6106739,2666,15,11,10,12,0.06941685895441974,0.5039989329527101,1.0
12c.sql,1865,1671,0,590497,1176315,0,28767271,550701,141,112,4711,2353,0.0037111364902410707,0.32184310927351517,1.0
13a.sql,1445,2,1,2365286,5278223,0,121750418225,1692526,223,161,111101,10557,0.011143549390743029,0.3322147651006711,1.0
13b.sql,2105,2088,0,12730,24907,0,23695320,9242,53,44,372,50,0.04385591723076339,0.31639210910862153,1.0
13c.sql,1686,1673,0,5699,12070,0,59839214,4640,28,25,53,25,0.07698940291821872,0.340191890101142,1.0
13d.sql,3470,12,6,6869333,13206126,0,1944292085,5453932,241,181,670390,26413,0.025670688124665164,0.30333197855479566,1.0
14a.sql,3159,3108,0,53536,143977,0,746683036,50859,89,52,761,288,0.006040213111029836,0.33820653311750315,1.0
14b.sql,4352,4337,0,2231,4747,0,10800317,2288,13,10,1,10,0.06941352010438986,0.4159669190207464,1.0
14c.sql,2036,1965,0,96927,236871,0,759494381,90608,56,42,4115,474,0.010403554610800116,0.15493832784966186,1.0
15a.sql,3480,3401,0,7339,16592,0,262850,9522,37,32,328,34,0.06085113731231779,0.5385168327617755,1.0
15b.sql,3526,3508,0,4722,10683,0,246080,5667,25,22,37,22,0.047623290463310604,0.39165237830147837,1.0
15c.sql,3283,3264,0,12403,25654,0,33819,13075,40,34,2271,52,0.07681164298014556,0.5238700572937566,1.0
15d.sql,1799,1477,0,107044,231495,0,318838,113637,138,111,11347,463,0.03452386768193134,0.164,1.0
16a.sql,145,85,0,118992,270680,0,14140997,133687,96,66,385,542,0.006150043017848916,0.34946236559139787,1.0
16b.sql,19047,13,20,15469992,32233355,0,1710133481,12425499,187,140,3710592,64467,0.057637828525563914,0.23752977817300147,1.0
16c.sql,4141,1710,1,1975609,5056957,0,1492959099,2153921,144,106,319932,10114,0.032104659926331394,0.2635938324868476,1.0
16d.sql,1367,717,1,694229,1530559,0,1478070253,526711,103,69,249455,3062,0.08309144822017893,0.41350554256076477,1.0
17a.sql,12175,528,2,18071340,39743136,0,392309854,16767204,337,140,258289,79487,0.0033124588081681733,0.39184952978056425,1.0
17b.sql,6819,2601,1,4229361,8934389,0,251469493,4065424,217,117,52306,17869,0.00309543356962896,0.2802690582959641,1.0
17c.sql,2910,1077,0,1315744,3718485,0,1524576948,1268289,164,97,1918,7437,7.539359298479743E-4,0.2140228038332127,1.0
17d.sql,12700,1567,0,11147819,30078753,0,3767762748,11040956,404,184,11538,60158,2.7899738343661364E-4,0.22858522318053012,1.0
17e.sql,15363,170,63,8640033,17451310,0,1563684103,5790000,122,81,2832555,34903,0.08135605393057581,0.30253164556962026,1.0
17f.sql,8635,1538,3,4474688,10393837,0,1953639759,3272317,97,61,1113120,20788,0.05375723628976903,0.1974922524030784,1.0
18a.sql,7478,7374,0,71144,162065,0,91805353,67906,55,35,410,325,0.009880291088869625,0.38460654117168375,1.0
18b.sql,3597,3515,0,23194,54065,0,99743342,23781,41,32,11,109,0.02065465118009999,0.4540806002295502,1.0
18c.sql,4220,3215,0,618446,1211657,0,119596312,455316,105,74,28073,2424,0.013170583696052245,0.38655820427279863,1.0
19a.sql,8077,7989,0,13236,28011,0,6335823,13230,50,45,184,57,0.04385203085630914,0.48352462907238347,1.0
19b.sql,7723,7701,1,4340,9104,0,6521,4348,22,19,15,19,0.04776518401208269,0.49931453911148693,1.0
19c.sql,4683,4497,1,119192,246085,0,15479919,113399,127,98,3575,493,0.014260730131798812,0.40644711955706947,1.0
19d.sql,15999,2623,10,8509222,15992465,0,236231668,6096500,1014,822,1760645,31985,0.05633177727421816,0.45361935205650494,1.0
20a.sql,13003,12919,0,8311,18968,0,14310066,8339,41,37,33,38,0.026168446153954777,0.29740758566561193,1.0
20b.sql,9399,9291,0,6348,15656,0,28640265,6479,35,31,17,32,0.025301914167619906,0.34397080616741654,1.0
20c.sql,4042,3683,0,354298,991432,0,342780966,337281,482,341,5406,1983,0.004369245346732036,0.34400483788663727,1.0
21a.sql,5803,5773,0,33552,71219,0,13035381,28598,131,113,1410,143,0.023791203034728824,0.17200000000012197,1.0
21b.sql,2975,2958,0,6740,15405,0,40320931,5864,34,30,38,31,0.018438406891767106,0.11198048123843178,1.0
21c.sql,4686,4643,0,31781,77138,0,108826470,32015,92,72,1874,155,0.031736810946791844,0.4097490896677287,1.0
22a.sql,1657,1559,0,103529,264890,0,670517595,112575,137,121,2851,530,0.0070297879559254595,0.16874300097401893,1.0
22b.sql,3582,3514,0,60636,166606,0,662859091,71394,255,209,31,334,0.0025141716790010485,0.16879233186586795,1.0
22c.sql,2682,2554,1,197793,427937,0,703761992,181676,129,107,21489,856,0.026280688061065045,0.17160100184343832,1.0
22d.sql,2214,2039,1,304564,641218,0,881279446,262723,173,148,46281,1283,0.03697815365643779,0.17156824368160523,1.0
23a.sql,3611,3587,0,14510,29566,0,96684067,13854,63,59,618,60,0.0539715357215607,0.4319526627218935,1.0
23b.sql,3416,3396,0,8680,21094,0,410452466,9679,46,43,16,43,0.02126737049078013,0.3439938975603999,1.0
23c.sql,4751,4728,0,13500,28577,0,29513257,14243,60,53,628,58,0.05360340419457268,0.4283154121863799,1.0
24a.sql,4964,4887,0,110881,237810,0,31523870,114851,180,165,275,476,0.008290801406531286,0.34074844129640625,1.0
24b.sql,3454,3431,0,8433,17626,0,408208,8438,39,36,45,36,0.050774598329597326,0.3647562953964398,1.0
25a.sql,1561,1462,0,124015,332297,0,1197267737,130901,115,87,4407,665,0.007770535522723266,0.021405787516015403,1.0
25b.sql,1985,1971,0,2967,6537,0,79313223,3122,17,14,6,14,0.03664041335374705,0.49230136986301365,1.0
25c.sql,1595,1214,0,370048,909827,0,1297275297,377313,111,86,26153,1820,0.014866702748590449,0.04129991616072635,1.0
26a.sql,6177,5692,0,831229,1934868,0,2843044530,1018616,416,363,1728,3870,8.014843905459789E-4,0.34392390802234135,1.0
26b.sql,2957,2880,0,90098,236331,0,1833852150,84412,401,306,93,473,0.005843002897278688,0.34323042373919127,1.0
26c.sql,6037,5651,0,804233,1882316,0,3800098469,842542,385,334,5400,3765,0.001751051944038621,0.320869428564243,1.0
27a.sql,2579,2537,0,28556,66043,0,53049028,29020,137,133,477,133,0.014959337230275115,0.14200101021025857,1.0
27b.sql,1391,1358,0,20063,45291,0,66744782,17785,94,89,247,91,0.02642646089830211,0.142,1.0
27c.sql,4098,4051,0,36402,80901,0,111111481,33744,155,149,743,162,0.03564672035833128,0.24317722595910987,1.0
28a.sql,5741,5618,0,129622,310055,0,945356596,138963,381,362,4803,621,0.011172373413045885,0.33349407715875623,1.0
28b.sql,7424,7347,0,72695,193087,0,1030535140,76450,187,180,148,387,0.00485860306131665,0.3334160651884492,1.0
28c.sql,3572,3434,1,186998,414004,0,832357894,192142,410,381,8373,829,0.012059088686569693,0.17157379383125798,1.0
29a.sql,2187,2110,0,82540,142835,0,138650230,64671,277,267,1620,286,0.0445719484454941,0.4046471577541538,1.0
29b.sql,2003,1947,0,35048,72223,0,32579533,34967,149,145,15,145,0.011732740129845464,0.34470998242781586,1.0
29c.sql,4585,4366,0,345910,659138,0,161951017,284352,940,890,16308,1319,0.022854573490740954,0.3406361887304084,1.0
30a.sql,2023,1880,0,161016,442142,0,1203697819,192059,248,216,757,885,0.0020686670376184875,0.015029557814532949,1.0
30b.sql,7754,7730,0,9357,20041,0,155107644,9199,44,41,28,41,0.036015187161795095,0.32074774469101885,1.0
30c.sql,2076,1830,0,463238,1062855,0,1358141707,510565,280,253,8024,2126,0.004443635907160981,0.02102624158951068,1.0
31a.sql,1924,1593,0,95845,198618,0,126028573,96575,165,150,1273,398,0.005372015881961734,0.1854705276454164,1.0
31b.sql,9308,9274,0,18844,40140,0,110045659,15234,84,81,84,81,0.01981970650068933,0.275242047071886,1.0
31c.sql,677,545,0,159141,325067,0,131989171,162799,172,151,2825,651,0.006062894663832432,0.19476290721026435,1.0
32a.sql,3,1,0,260,508,0,3,247,4,2,0,2,7.460327635485076E-7,1.4920655270970152E-6,1.0
32b.sql,97,0,0,82524,207766,0,120588812,81875,42,20,4388,416,0.012856757196583031,0.12168334071711694,1.0
33a.sql,505,480,0,12406,29060,0,37125790,11895,62,59,8,59,0.00881364700480762,0.06985158939733262,1.0
33b.sql,479,354,0,13090,33771,0,106634667,12209,67,62,4,68,0.009922383310942159,0.052488252551104536,1.0
33c.sql,1118,1078,0,28388,70155,0,55121956,29783,145,141,114,141,0.004683465748933621,0.05626668891855808,1.0
