Query,Millis,PreMillis,PostMillis,Tuples,Iterations,Lookups,NrIndexEntries,nrUniqueLookups,NrUctNodes,NrPlans,JoinCard,NrSamples,AvgReward,MaxReward,TotalWork
26c.sql,5041,3892,0,471412,1291709,0,684125646,483338,431,365,5400,2584,0.002892525587734253,0.3189929002254434,1.0
27a.sql,2655,2329,1,30901,61648,0,3785278,27260,128,124,477,124,0.022058279344926438,0.14000000000076684,1.0
27b.sql,2750,2598,0,19458,45813,0,225361462,19452,95,92,247,92,0.015843722233880617,0.13200101320061755,1.0
27c.sql,3422,3378,0,28767,62578,0,68673306,28535,129,122,743,126,0.025853252568029835,0.236,1.0
28a.sql,3150,2741,0,144134,335619,0,731108296,138013,418,373,4803,672,0.009744986698475764,0.3335853692668621,1.0
28b.sql,1650,1443,0,120654,263619,0,71362806,133182,321,287,148,528,0.00829787283592558,0.3879312914139163,1.0
28c.sql,2842,2511,0,180239,417023,0,1267079452,195301,486,436,8373,835,0.012088830560251177,0.17158147375038016,1.0
29a.sql,3136,2937,0,85156,144752,0,134716715,59900,286,279,1620,290,0.04784332226171173,0.3937100241719571,1.0
29b.sql,2585,2430,0,11113,23537,0,46830984,11533,51,48,15,48,0.046503529703385386,0.3457097644393679,1.0
29c.sql,6415,3795,0,2448600,5008001,0,215785076,3745342,1675,1403,16308,10017,0.0035113321539735087,0.3406326431008664,1.0
30a.sql,4656,4253,0,111570,251035,0,579308397,126902,219,210,757,503,0.0067258938158680105,0.4286908077994429,1.0
30b.sql,4404,4325,0,10956,22944,0,109254863,11001,49,46,28,46,0.025090967536815546,0.3180628272251309,1.0
30c.sql,5690,4514,1,609295,1297482,0,565542297,671287,396,371,8024,2595,0.004427607105247082,0.20084138336629542,1.0
31a.sql,3527,3233,0,92496,195020,0,122173387,96640,182,170,1273,391,0.005774346187861938,0.25341746470585197,1.0
31b.sql,5008,4730,0,18460,38475,0,80221357,16045,80,74,84,77,0.01738751654333815,0.39652768053077253,1.0
31c.sql,2492,2004,0,276348,687752,0,54535981222,273619,325,253,2825,1376,0.0027506505518677666,0.15965008652038118,1.0
32a.sql,5,0,1,939,2008,0,2704,922,7,5,0,5,5.970413667952844E-5,1.6668338151919201E-4,1.0
32b.sql,199,0,0,82717,208322,0,124945262,82070,44,16,4388,417,0.012817897935221294,0.10823299555093942,1.0
33a.sql,1067,988,0,11969,29022,0,61930574,11234,62,59,8,59,0.009000666957773443,0.05527192307914764,1.0
33b.sql,599,524,0,8923,20868,0,74830016,8586,45,42,4,42,0.01155296664033537,0.08854236157438292,1.0
33c.sql,1938,1711,0,50453,142021,0,1299061207,50334,191,179,114,285,0.01106803719622922,0.44146253602305474,1.0
