query,duration
01a.sql,0.0149
01a.sql,0.0076
01a.sql,0.0068
01a.sql,0.0068
01a.sql,0.0068
01b.sql,0.0011
01b.sql,0.0009
01b.sql,0.0009
01b.sql,0.0009
01b.sql,0.0009
01c.sql,0.0054
01c.sql,0.0052
01c.sql,0.0051
01c.sql,0.0051
01c.sql,0.0052
01d.sql,0.0010
01d.sql,0.0008
01d.sql,0.0008
01d.sql,0.0008
01d.sql,0.0008
02a.sql,0.6985
02a.sql,0.6919
02a.sql,0.6851
02a.sql,0.6860
02a.sql,0.6844
02b.sql,0.6740
02b.sql,0.6714
02b.sql,0.6735
02b.sql,0.6732
02b.sql,0.6659
02c.sql,0.6311
02c.sql,0.6343
02c.sql,0.6337
02c.sql,0.6351
02c.sql,0.6348
02d.sql,0.8928
02d.sql,0.8911
02d.sql,0.8906
02d.sql,0.8927
02d.sql,0.8900
03a.sql,0.8106
03a.sql,0.2270
03a.sql,0.2204
03a.sql,0.2228
03a.sql,0.2214
03b.sql,0.1414
03b.sql,0.1385
03b.sql,0.1300
03b.sql,0.1376
03b.sql,0.1368
03c.sql,0.4354
03c.sql,0.4375
03c.sql,0.4331
03c.sql,0.4351
03c.sql,0.4334
04a.sql,0.1487
04a.sql,0.1370
04a.sql,0.1372
04a.sql,0.1412
04a.sql,0.1360
04b.sql,0.0838
04b.sql,0.0757
04b.sql,0.0746
04b.sql,0.0745
04b.sql,0.0746
04c.sql,0.1299
04c.sql,0.1308
04c.sql,0.1489
04c.sql,0.1543
04c.sql,0.1494
05a.sql,0.2683
05a.sql,0.2642
05a.sql,0.2639
05a.sql,0.2693
05a.sql,0.2690
05b.sql,0.2600
05b.sql,0.2545
05b.sql,0.2535
05b.sql,0.2546
05b.sql,0.2546
05c.sql,0.3363
05c.sql,0.3205
05c.sql,0.3182
05c.sql,0.3194
05c.sql,0.3196
06a.sql,0.0367
06a.sql,0.0222
06a.sql,0.0221
06a.sql,0.0225
06a.sql,0.0221
06b.sql,0.3498
06b.sql,0.3280
06b.sql,0.3263
06b.sql,0.3260
06b.sql,0.3258
06c.sql,0.0167
06c.sql,0.0163
06c.sql,0.0162
06c.sql,0.0162
06c.sql,0.0164
06d.sql,9.5745
06d.sql,8.8505
06d.sql,8.8132
06d.sql,8.8175
06d.sql,8.8296
06e.sql,0.0256
06e.sql,0.0223
06e.sql,0.0224
06e.sql,0.0228
06e.sql,0.0223
06f.sql,8.9578
06f.sql,8.9401
06f.sql,8.9543
06f.sql,8.9585
06f.sql,8.9496
07a.sql,1.3413
07a.sql,1.2609
07a.sql,1.2470
07a.sql,1.2492
07a.sql,1.2471
07b.sql,0.3212
07b.sql,0.3129
07b.sql,0.3145
07b.sql,0.3129
07b.sql,0.3130
07c.sql,15.0239
07c.sql,14.6805
07c.sql,14.6622
07c.sql,14.6940
07c.sql,14.6352
08a.sql,2.7557
08a.sql,2.5876
08a.sql,2.5774
08a.sql,2.5795
08a.sql,2.5805
08b.sql,0.3195
08b.sql,0.3007
08b.sql,0.2999
08b.sql,0.3001
08b.sql,0.3001
08c.sql,14.9448
08c.sql,14.8469
08c.sql,14.7859
08c.sql,14.7907
08c.sql,14.7834
08d.sql,5.1127
08d.sql,5.0932
08d.sql,5.1036
08d.sql,5.0995
08d.sql,5.0741
09a.sql,0.6784
09a.sql,0.5766
09a.sql,0.5747
09a.sql,0.5748
09a.sql,0.5745
09b.sql,2.7292
09b.sql,2.7351
09b.sql,2.7414
09b.sql,2.7286
09b.sql,2.7274
09c.sql,0.8000
09c.sql,0.7765
09c.sql,0.7773
09c.sql,0.7774
09c.sql,0.7736
09d.sql,5.9449
09d.sql,5.9086
09d.sql,5.9119
09d.sql,5.9058
09d.sql,5.9076
10a.sql,0.5315
10a.sql,0.5226
10a.sql,0.5211
10a.sql,0.5211
10a.sql,0.5202
10b.sql,0.2116
10b.sql,0.2104
10b.sql,0.2119
10b.sql,0.2105
10b.sql,0.2105
10c.sql,4.4551
10c.sql,4.3768
10c.sql,4.3560
10c.sql,4.3568
10c.sql,4.3476
11a.sql,0.0592
11a.sql,0.0529
11a.sql,0.0530
11a.sql,0.0517
11a.sql,0.0515
11b.sql,0.0177
11b.sql,0.0173
11b.sql,0.0173
11b.sql,0.0172
11b.sql,0.0172
11c.sql,0.2812
11c.sql,0.2645
11c.sql,0.2561
11c.sql,0.2651
11c.sql,0.2555
11d.sql,0.2554
11d.sql,0.2774
11d.sql,0.2775
11d.sql,0.2638
11d.sql,0.2661
12a.sql,0.3753
12a.sql,0.3747
12a.sql,0.3735
12a.sql,0.3746
12a.sql,0.3730
12b.sql,0.1311
12b.sql,0.1291
12b.sql,0.1298
12b.sql,0.1298
12b.sql,0.1309
12c.sql,1.4612
12c.sql,1.4653
12c.sql,1.4573
12c.sql,1.4567
12c.sql,1.4558
13a.sql,2.6643
13a.sql,2.6625
13a.sql,2.6655
13a.sql,2.6681
13a.sql,2.6707
13b.sql,1.0928
13b.sql,1.0950
13b.sql,1.0941
13b.sql,1.0920
13b.sql,1.0975
13c.sql,1.0642
13c.sql,1.0631
13c.sql,1.0585
13c.sql,1.0627
13c.sql,1.0626
13d.sql,7.1398
13d.sql,7.1003
13d.sql,7.1492
13d.sql,7.1622
13d.sql,7.1196
14a.sql,0.5566
14a.sql,0.5472
14a.sql,0.5473
14a.sql,0.5476
14a.sql,0.5449
14b.sql,0.1894
14b.sql,0.1893
14b.sql,0.1894
14b.sql,0.1904
14b.sql,0.1892
14c.sql,1.1416
14c.sql,1.1432
14c.sql,1.1395
14c.sql,1.1400
14c.sql,1.1392
15a.sql,0.5743
15a.sql,0.5767
15a.sql,0.5750
15a.sql,0.5746
15a.sql,0.5755
15b.sql,0.0632
15b.sql,0.0546
15b.sql,0.0546
15b.sql,0.0545
15b.sql,0.0545
15c.sql,1.1774
15c.sql,1.1676
15c.sql,1.1178
15c.sql,1.1583
15c.sql,1.1577
15d.sql,1.2612
15d.sql,1.2754
15d.sql,1.2746
15d.sql,1.2750
15d.sql,1.2760
16a.sql,0.2921
16a.sql,0.2883
16a.sql,0.2891
16a.sql,0.2892
16a.sql,0.2886
16b.sql,26.5628
16b.sql,26.6193
16b.sql,26.7961
16b.sql,26.6374
16b.sql,26.7097
16c.sql,2.2796
16c.sql,2.2841
16c.sql,2.2937
16c.sql,2.2906
16c.sql,2.2880
16d.sql,1.8264
16d.sql,1.8245
16d.sql,1.8266
16d.sql,1.8211
16d.sql,1.8222
17a.sql,16.2161
17a.sql,16.2797
17a.sql,16.2038
17a.sql,16.2570
17a.sql,16.2277
17b.sql,11.8198
17b.sql,11.8214
17b.sql,11.8031
17b.sql,11.8006
17b.sql,11.8278
17c.sql,11.3933
17c.sql,11.3941
17c.sql,11.4057
17c.sql,11.4012
17c.sql,11.3837
17d.sql,11.5918
17d.sql,11.6249
17d.sql,11.5953
17d.sql,11.5879
17d.sql,11.5998
17e.sql,16.2061
17e.sql,16.2922
17e.sql,16.2061
17e.sql,16.2076
17e.sql,16.2127
17f.sql,15.5813
17f.sql,15.5992
17f.sql,15.6063
17f.sql,15.6058
17f.sql,15.5774
18a.sql,8.3156
18a.sql,7.8454
18a.sql,7.8175
18a.sql,7.8030
18a.sql,7.8232
18b.sql,0.3500
18b.sql,0.3499
18b.sql,0.3490
18b.sql,0.3495
18b.sql,0.3492
18c.sql,10.3858
18c.sql,10.4089
18c.sql,10.3832
18c.sql,10.3943
18c.sql,10.3761
19a.sql,7.5931
19a.sql,7.6047
19a.sql,7.5984
19a.sql,7.6097
19a.sql,7.5866
19b.sql,0.2773
19b.sql,0.2803
19b.sql,0.2761
19b.sql,0.2761
19b.sql,0.2755
19c.sql,12.7060
19c.sql,12.6988
19c.sql,12.7119
19c.sql,12.6881
19c.sql,12.7055
19d.sql,12.5730
19d.sql,12.5640
19d.sql,12.5935
19d.sql,12.5981
19d.sql,12.5944
20a.sql,184.0312
20a.sql,183.2342
20a.sql,185.9516
20a.sql,184.6135
20a.sql,184.1506
20b.sql,75.8044
20b.sql,76.1518
20b.sql,75.4291
20b.sql,76.3492
20b.sql,76.0019
20c.sql,79.6337
20c.sql,79.5471
20c.sql,79.8782
20c.sql,79.7169
20c.sql,79.5335
21a.sql,0.1343
21a.sql,0.1312
21a.sql,0.1272
21a.sql,0.1271
21a.sql,0.1276
21b.sql,0.0558
21b.sql,0.0558
21b.sql,0.0556
21b.sql,0.0557
21b.sql,0.0556
21c.sql,0.0727
21c.sql,0.0731
21c.sql,0.0724
21c.sql,0.0720
21c.sql,0.0722
22a.sql,0.9737
22a.sql,0.9632
22a.sql,0.9623
22a.sql,0.9620
22a.sql,0.9615
22b.sql,0.4496
22b.sql,0.4466
22b.sql,0.4484
22b.sql,0.4469
22b.sql,0.4474
22c.sql,3.8050
22c.sql,3.7920
22c.sql,3.7909
22c.sql,3.8101
22c.sql,3.8066
22d.sql,3.2900
22d.sql,3.2840
22d.sql,3.2881
22d.sql,3.2792
22d.sql,3.2881
23a.sql,0.3178
23a.sql,0.3090
23a.sql,0.3100
23a.sql,0.3099
23a.sql,0.3095
23b.sql,0.3062
23b.sql,0.3070
23b.sql,0.3067
23b.sql,0.3055
23b.sql,0.3069
23c.sql,0.5881
23c.sql,0.5915
23c.sql,0.5885
23c.sql,0.5889
23c.sql,0.5900
24a.sql,0.6009
24a.sql,0.5936
24a.sql,0.5914
24a.sql,0.5912
24a.sql,0.5909
24b.sql,0.1481
24b.sql,0.1419
24b.sql,0.1421
24b.sql,0.1417
24b.sql,0.1418
25a.sql,4.8606
25a.sql,4.8778
25a.sql,4.8547
25a.sql,4.8561
25a.sql,4.8647
25b.sql,0.5571
25b.sql,0.5492
25b.sql,0.5471
25b.sql,0.5484
25b.sql,0.5467
25c.sql,11.5944
25c.sql,11.6205
25c.sql,11.5980
25c.sql,11.6033
25c.sql,11.5837
26a.sql,1.3333
26a.sql,1.3348
26a.sql,1.3309
26a.sql,1.3286
26a.sql,1.3270
26b.sql,0.6420
26b.sql,0.6408
26b.sql,0.6428
26b.sql,0.6409
26b.sql,0.6423
26c.sql,2.6760
26c.sql,2.6551
26c.sql,2.6641
26c.sql,2.6521
26c.sql,2.6571
27a.sql,0.0875
27a.sql,0.0856
27a.sql,0.0862
27a.sql,0.0854
27a.sql,0.0853
27b.sql,0.0795
27b.sql,0.0789
27b.sql,0.0788
27b.sql,0.0786
27b.sql,0.0788
27c.sql,0.2582
27c.sql,0.2563
27c.sql,0.2588
27c.sql,0.2544
27c.sql,0.2551
28a.sql,3.6042
28a.sql,3.6173
28a.sql,3.6138
28a.sql,3.6112
28a.sql,3.6321
28b.sql,0.9511
28b.sql,0.9491
28b.sql,0.9510
28b.sql,0.9500
28b.sql,0.9499
28c.sql,4.9237
28c.sql,4.8974
28c.sql,4.9387
28c.sql,4.9097
28c.sql,4.9194
29a.sql,2.5442
29a.sql,2.5298
29a.sql,2.5333
29a.sql,2.5291
29a.sql,2.5324
29b.sql,2.1029
29b.sql,2.0788
29b.sql,2.0843
29b.sql,2.0822
29b.sql,2.0721
29c.sql,9.8931
29c.sql,9.8913
29c.sql,9.9097
29c.sql,9.8780
29c.sql,9.9068
30a.sql,1.2898
30a.sql,1.2863
30a.sql,1.2851
30a.sql,1.2849
30a.sql,1.2887
30b.sql,0.3400
30b.sql,0.3278
30b.sql,0.3288
30b.sql,0.3294
30b.sql,0.3266
30c.sql,5.2892
30c.sql,5.3005
30c.sql,5.2852
30c.sql,5.2996
30c.sql,5.2837
31a.sql,0.4237
31a.sql,0.4134
31a.sql,0.4140
31a.sql,0.4138
31a.sql,0.4144
31b.sql,0.2188
31b.sql,0.2160
