query,duration
q2-1.sql,20.3908
q2-1.sql,20.6070
q2-1.sql,20.4685
q2-1.sql,20.6067
q2-1.sql,20.5135
q2-2.sql,6.9548
q2-2.sql,6.7909
q2-2.sql,6.8009
q2-2.sql,6.7794
q2-2.sql,6.7771
q2-3.sql,24.2204
q2-3.sql,23.8148
q2-3.sql,23.8689
q2-3.sql,24.2618
q2-3.sql,24.4886
q3-1.sql,17.6681
q3-1.sql,18.0814
q3-1.sql,18.1789
q3-1.sql,18.2269
q3-1.sql,18.1158
q3-2.sql,50.8854
q3-2.sql,50.8701
q3-2.sql,50.9367
q3-2.sql,51.0129
q3-2.sql,50.9479
q3-3.sql,210.4563
q3-3.sql,210.5786
q3-3.sql,209.6579
q3-3.sql,210.9977
q3-3.sql,211.9333
q4-1.sql,21.4580
q4-1.sql,22.1086
q4-1.sql,22.0576
q4-1.sql,21.8760
q4-1.sql,22.0817
q4-2.sql,22.7315
q4-2.sql,22.6753
q4-2.sql,22.3408
q4-2.sql,22.7509
q4-2.sql,22.7297
q4-3.sql,39.1751
q4-3.sql,40.0466
q4-3.sql,39.3787
q4-3.sql,37.8082
q4-3.sql,37.1397
