query,duration
q1-1.sql,14.6433
q1-1.sql,14.4894
q1-1.sql,14.6660
q1-1.sql,14.5061
q1-1.sql,14.7656
q1-2.sql,14.3222
q1-2.sql,14.2442
q1-2.sql,14.2528
q1-2.sql,14.4938
q1-2.sql,14.2617
q1-3.sql,14.3676
q1-3.sql,14.4258
q1-3.sql,14.4501
q1-3.sql,14.5290
q1-3.sql,14.4005
q2-1.sql,21.1418
q2-1.sql,21.2779
q2-1.sql,20.8654
q2-1.sql,20.8974
q2-1.sql,20.7625
q2-2.sql,11.0752
q2-2.sql,10.9043
q2-2.sql,10.8812
q2-2.sql,10.9007
q2-2.sql,10.8739
q2-3.sql,1.9468
q2-3.sql,1.9446
q2-3.sql,1.9450
q2-3.sql,1.9385
q2-3.sql,1.9465
q3-1.sql,26.2498
q3-1.sql,25.6046
q3-1.sql,26.2684
q3-1.sql,26.4880
q3-1.sql,26.5430
q3-2.sql,19.7848
q3-2.sql,19.9105
q3-2.sql,19.8638
q3-2.sql,19.9077
q3-2.sql,19.9510
q3-3.sql,18.5897
q3-3.sql,18.5178
q3-3.sql,18.4988
q3-3.sql,18.4324
q3-3.sql,18.4485
q4-1.sql,27.5521
q4-1.sql,27.6977
q4-1.sql,28.0680
q4-1.sql,28.0105
q4-1.sql,27.8828
q4-2.sql,26.8061
q4-2.sql,26.8920
q4-2.sql,27.2058
q4-2.sql,27.2738
q4-2.sql,27.0571
q4-3.sql,20.0606
q4-3.sql,20.0395
q4-3.sql,19.6465
q4-3.sql,19.9154
q4-3.sql,19.5654
